snapshot_date,language,repo_count,total_stars,avg_stars,median_stars,total_forks,avg_forks,total_watchers,total_open_issues,archived_repo_count,stale_repo_count
2026-04-20,Python,128,291516,2277.46875,0,47555,371.5234375,291516,15700,0,4
2026-04-20,Unknown,67,28098,419.3731343283582,0,2422,36.149253731343286,28098,52,0,2
2026-04-20,HTML,21,331,15.761904761904763,0,279,13.285714285714286,331,275,0,0
2026-04-20,TSQL,11,0,0,0,0,0,0,0,0,0
2026-04-19,TypeScript,21,110859,5279,0,21243,1011.5714285714286,110859,2254,0,1
2026-04-19,Jupyter Notebook,44,98552,2239.818181818182,0,17666,401.5,98552,237,0,2
2026-04-19,JavaScript,10,7395,739.5,0,452,45.2,7395,259,0,0
2026-04-18,Rust,8,70371,8796.375,5353,6614,826.75,70371,3958,0,0
2026-04-18,C#,1,1,1,1,0,0,1,0,0,0
2026-04-18,Shell,2,0,0,0,0,0,0,0,0,0
2026-04-16,Java,16,202584,12661.5,11582,56272,3517,202584,6871,0,0
2026-04-16,Go,8,61191,7648.875,6372,7672,959,61191,2623,0,0
2026-04-16,C++,3,58885,19628.333333333332,11967,9033,3011,58885,6531,0,0
2026-04-16,Scala,3,45749,15249.666666666666,2410,29296,9765.333333333334,45749,513,0,1
2026-04-16,CSS,3,2076,692,161,253,84.33333333333333,2076,16,0,0
2026-03-29,Ruby,2,2399,1199.5,1644,194,97,2399,108,0,0
2026-03-29,HCL,2,21,10.5,21,9,4.5,21,200,0,0
2026-03-29,D2,1,1,1,1,0,0,1,0,0,0
2026-03-29,PowerShell,2,0,0,0,1,0.5,0,0,0,0
2026-03-29,Lua,1,0,0,0,0,0,0,0,0,0
2026-03-29,PHP,1,0,0,0,0,0,0,0,0,0
2026-03-29,SQL,1,0,0,0,0,0,0,0,0,0
2026-03-28,Elixir,1,24482,24482,24482,1367,1367,24482,73,0,0
2026-03-28,PLpgSQL,2,27,13.5,27,43,21.5,27,67,0,0
2026-03-28,Dart,1,0,0,0,0,0,0,0,0,0
